No,事業用途,エリア１(都道府県）,エリア2（市区町村）,沿線・駅,駅距離,予算総額 下限（億）,予算総額 上限（億）,面積下限（坪）,面積上限（坪）,その他条件
1,マンション,1都3県,,,不問,,,50坪,1000坪,
2,マンション,東京都,23区、川崎市,,～１０分,,3億,30坪,100坪,容積150～400％　　前面道路5ｍ以上
3,マンション,東京都,大田区,京急,～１０分,,2億,,40坪,
4,マンション,東京都,国道16号線沿道,,不問,,,,,事業用定借底地希望（残存期間3-5年がベスト）
5,マンション,東京都,城東,,～１０分,,,500坪,,コンパクトＭａ用地
6,マンション,東京都,都心・城西・城南,,,,,50坪,150坪,一種70万～150万程度、容積150～300％程度
7,マンション,東京都,文京区,,,1億,5億,50坪,,本郷三丁目・小石川エリア◎
8,マンション,東京都,港区・渋谷区,,,10億,30億,,,
9,マンション,東京都,,,～１０分,1億,3億,30坪,30坪,アパート用地
10,寮・社宅,神奈川県,,,不問,,,150坪,,特殊ニーズ有
11,寮・社宅,東京都,,,不問,,,150坪,,特殊ニーズ有
12,寮・社宅,東京都,,三鷹～立川,～１５分,,,350坪,500坪,三鷹～立川
13,戸建て,東京都,福生市、昭島市、羽村市,,不問,,,400坪,2000坪,
14,戸建て,1都3県,,,不問,,,,,建売分譲地
15,戸建て,神奈川県,,,不問,,,300坪,,坪60万円程度。既存建物あってもOK。駅遠可。
16,戸建て,その他県,静岡県、愛知県,,不問,,,,,1現場10-20棟での戸建開発（建坪30坪程度）、既存建物あってもOK
17,戸建て,東京都,文京区,,,1億,5億,50坪,,本郷三丁目・小石川エリア◎
18,ホテル,その他県,沖縄県,,,,10億,20000坪,30000坪,敷地が直接海と接している。
19,ホテル,その他県,全国,,不問,,,100坪,,
20,ホテル,東京都,２３区,,,,相場,,,駅視認性の高い場所。延べで千坪取れる事
21,ホテル,東京都,都心5区,,～５分,,4億,50坪,,駅前（3分以内）立地希望
22,ホテル,東京都,,,～５分,,,100坪,,借地権でも検討可能。
23,ホテル,東京都,,,不問,,,150坪,,"延床1,000坪以上"
24,事務所,神奈川県,寒川町周辺,,不問,,,,,延べ300坪建てられる土地
25,事務所,その他県,首都圏・名古屋・大阪・京都・博多・札幌、,,不問,,,150坪,,"延床1,000坪以上"
26,事務所,東京都,大田区・品川区,,,,,800坪,,
27,事務所,東京都,千代田区・台東区,,,,3億,,,一棟オフィスビル希望
28,事務所,東京都,都心5区,,～５分,,10億,,30坪,駅近若しくは大通りに面希望
29,事務所,東京都,西東京市,,不問,,,50坪,150坪,駅距離問わず
30,店舗,1都3県,,,不問,,5億,60坪,,駅前商店街の喫茶店用地
31,店舗,1都3県,,,不問,,10億,200坪,1000坪,P店。駅前であれば200坪、郊外では1000坪程度。
32,店舗,1都3県,,,不問,,5億,,800坪,ガソリンスタンド用地　８ｍ以上　大型車両の出入りができること
33,店舗,その他県,全国,,不問,,,500坪,,ロードサイド
34,店舗,東京都,全国,,不問,,,180坪,600坪,特に角地希望
35,物流・倉庫,その他県,全国のIC付近,,不問,,,5000坪,,首都圏が望ましい
36,物流・倉庫,千葉県,茨城、栃木、群馬含む,,不問,,2億,800坪,1000坪,道路は8ｍ以上必須。
37,物流・倉庫,東京都,湾岸・多摩エリア,,不問,5,6,1000坪,,建坪2000坪以上確保　ワイン倉庫用地
38,医療・介護,東京都,世田谷区,用賀・桜新町,不問,,20億,500坪,,診療所として15床以上。前面道路6ｍ容積率150％以上
39,学校,東京都,新宿区,東西線(神楽坂駅),～１５分,不問,不問,不問,不問,小規模土地検討可。
40,学校,東京都,,,不問,,,500坪,,東京都内
41,工場,神奈川県,愛川町周辺,,不問,,1億,600坪,,物流施設兼営業所
42,工場,神奈川県,港北区・都筑区・緑区,,不問,,相場,1000坪,2000坪,自動車修理工場用地
43,工場,埼玉県,秩父・飯能・狭山周辺,,不問,,5億,800坪,1000坪,
44,工場,埼玉県,三郷市・吉川市,,,,1億,,500坪,コンクリートテストピース情報。
45,工場,埼玉県・千葉県,春日部・川口・草加・八潮・三郷・野田・流山・柏,,不問,,3億,3000坪,,工場用地
46,工場,千葉県,茨城、栃木、群馬含む,,不問,,2億,800坪,1000坪,道路は8ｍ以上必須。
47,工場,千葉県,,,不問,,10億,4000坪,,圏央道沿道希望
48,工場,東京都,白金・目黒・代官山,,～５分,3億,5億,,,キャラメル製造工場（建物延べ100～150坪前後）
49,その他,神奈川県,藤沢市・戸塚区,藤沢駅・戸塚駅,,,,1000坪,,資材置場
50,その他,埼玉県,加須,,不問,,6億,2500坪,3500坪,資材置き場兼機材補修施設
51,その他,埼玉県,越谷市南部限定,,不問,,2億,900坪,1200坪,早めに決めたい。
52,その他,埼玉県,所沢市,西武池袋,,,2億,300坪,500坪,ガス工事資材置き場
53,その他,埼玉県,,本川越駅,～５分,,,,50坪,本川越駅周辺で35～50坪程度の土地
54,その他,その他県,全国,,不問,,,,,山林・原野・農地
55,その他,その他県,全国,,不問,,,,,賃貸駐車場用地。2台分～。
56,その他,その他県,全国政令指定都市,,～１５分,,,100坪,,複数アセットにて検討
57,その他,東京都,全国,,不問,,,200坪,400坪,駅近、ロードサイド
58,その他,東京都,文京区本郷,,不問,,,,,20～30台分の保管用車庫
59,その他,東京都,,,不問,,,500坪,,タクシープール
60,その他,東京都,,蒲田駅,不問,,1億,40坪,,駐車場用地
61,その他,1都3県,,,不問,,,30坪,50坪,
